CourseCode,Department,Content-to-ILO,ILO-to-Content,# Chunks,# Outcomes,Year,Credits,Content Length
US264F,130,0.6593,0.7267,3,3,2019,7.5,61
FE6611,302,0.6657,0.768,9,7,2016,7.5,182
SV3022,320,0.7599,0.7167,6,9,2019,15.0,76
GG1017,464,0.8427,0.7784,5,7,2019,7.5,60
RHA210,103,0.6484,0.7231,4,4,2021,7.5,76
UQBA05,317,0.7878,0.8124,5,5,2022,7.5,69
ST223G,311,0.6829,0.761,9,2,2014,15.0,166
UB209Z,318,0.7843,0.6732,1,5,2019,7.5,19
KA7002,434,0.5744,0.607,4,4,2013,15.0,74
SU7257,314,0.8951,0.7922,1,4,2022,7.5,57
FV7328,120,0.8428,0.8695,3,3,2021,7.5,61
KO7010,434,0.6582,0.68,5,9,2019,15.0,96
UB11FS,318,0.6765,0.7154,3,4,2018,7.5,29
LAS104,165,0.6968,0.6346,3,4,2022,7.5,39
FV1031,120,0.728,0.7886,3,2,2017,15.0,50
GG8115,464,0.556,0.6857,6,5,2019,7.5,37
AKA123,312,0.6494,0.915,8,1,2021,7.5,130
UM717K,130,0.8014,0.8014,3,3,2023,4.0,62
UMT220,130,0.5561,0.5713,5,3,2022,7.5,40
FAB210,158,0.8418,0.8656,11,9,2022,15.0,176
DA7061,403,0.4519,0.6706,14,3,2021,30.0,128
GE5029,463,0.8305,0.7942,2,3,2017,7.5,51
PH11A1,333,0.8021,0.7791,5,7,2023,7.5,102
YP26LÄ,306,0.7954,0.8033,3,3,2019,7.5,52
GE7025,463,0.6521,0.8087,7,3,2010,15.0,152
FK4024,402,0.5965,0.7793,12,4,2014,15.0,170
SAM223,309,0.6347,0.7352,7,4,2015,7.5,132
GG5119,464,0.6874,0.7761,6,4,2019,7.5,39
LVAN50,106,0.7453,0.7405,3,3,2019,7.5,56
KG3301,304,0.7546,0.7732,4,4,2020,7.5,65
US158F,130,0.76,0.7876,3,5,2019,7.5,69
ML470C,323,0.583,0.7693,5,3,2018,7.5,114
ARO844,108,0.7594,0.8267,2,1,2019,7.5,59
KV1391,106,0.7586,0.6601,3,4,2015,7.5,49
PSMT60,308,0.7895,0.6239,2,4,2021,7.5,59
KG1208,304,0.5948,0.8308,2,2,2018,7.5,29
GE8022,463,0.7028,0.5977,1,3,2019,7.5,15
TYA001,158,0.7649,0.7372,13,10,2022,15.0,221
CT7151,154,0.76,0.8416,5,3,2021,7.5,65
LVAN48,106,0.8049,0.781,2,4,2019,7.5,67
HV10KS,130,0.7612,0.7563,2,5,2022,7.5,59
BKK005,318,0.7819,0.7359,3,3,2023,7.5,68
BL5012,460,0.6613,0.6134,8,6,2007,15.0,66
FIFL20,102,0.6502,0.71,21,9,2023,7.5,219
UB302M,318,0.8414,0.814,2,5,2022,7.5,44
UM4041,130,0.8944,0.7885,3,5,2023,7.5,81
ITLIV3,165,0.8211,0.809,4,4,2021,7.5,87
KV5263,106,0.6912,0.7139,6,4,2022,15.0,153
HVMA12,130,0.7701,0.8503,4,3,2019,7.5,46
TYA990,158,0.8268,0.4708,2,5,2014,30.0,64
LIT405,153,0.7995,0.7716,4,4,2023,10.0,88
LIN223,153,0.8491,0.8359,6,7,2023,7.5,117
ITÄLL3,165,0.5725,0.5751,3,3,2021,7.5,39
JU682A,220,0.6533,0.6796,7,8,2024,15.0,143
KV5254,106,0.8833,0.8747,3,3,2018,7.5,51
RHG505,103,0.8115,0.7833,2,2,2019,7.5,27
US531F,130,0.8447,0.7829,4,5,2019,7.5,59
IB150N,323,0.7283,0.6218,3,7,2020,7.5,41
IT130B,165,0.7775,0.8058,12,10,2021,30.0,199
DA3018,403,0.6179,0.5849,6,7,2021,7.5,72
BA1162,158,0.7777,0.7867,2,4,2020,7.5,36
ABMHIP,172,0.7927,0.8602,5,3,2022,7.5,135
PH18A1,333,0.626,0.7793,5,3,2023,7.5,97
MI8015,485,0.5949,0.5603,2,4,2019,15.0,36
DA3020,403,0.4864,0.5754,10,5,2019,6.0,61
UB215A,318,0.6955,0.7259,5,3,2019,7.5,83
NS2037,154,0.7108,0.7518,3,3,2021,7.5,55
IT715Z,165,0.738,0.7392,4,5,2020,7.5,59
UB33UU,318,0.8159,0.852,16,8,2023,16.0,335
UB315F,318,0.8575,0.8144,5,6,2019,7.5,83
PE01GN,306,0.7859,0.7935,3,4,2019,7.5,54
ARA124,108,0.8187,0.8369,3,1,2019,7.5,66
LK1045,104,0.6375,0.7331,6,3,2019,7.5,112
SON100,310,0.7608,0.7444,7,8,2011,30.0,133
UB21VU,318,0.7638,0.7438,4,9,2022,7.5,82
BL8008,460,0.6953,0.7421,4,3,2020,7.5,76
UB213Z,318,0.7349,0.684,6,6,2022,15.0,136
EC2201,305,0.4675,0.5431,9,7,2018,7.5,51
FK7016,402,0.5804,0.5712,3,4,2019,7.5,52
TYA970,158,0.8258,0.4569,2,5,2014,15.0,63
GG4042,464,0.8213,0.77,1,3,2019,2.5,55
PSPR36,308,0.7379,0.6285,2,4,2021,7.5,29
ENSE75,150,0.7978,0.6428,2,4,2021,7.5,48
GE1019,463,0.7063,0.8272,5,2,2019,7.5,40
NS7131,154,0.3552,0.4426,6,3,2023,7.5,142
JU68FF,220,0.7787,0.7371,1,5,2023,15.0,22
FK8025,402,0.596,0.6217,6,5,2019,7.5,39
MM7025,403,0.6419,0.6328,4,5,2020,7.5,78
PEA410,306,0.7663,0.6849,2,4,2019,7.5,39
PEA468,306,0.5875,0.6681,5,2,2019,7.5,42
FS2003,120,0.7094,0.7283,5,6,2023,30.0,106
JU889K,220,0.6647,0.7033,7,7,2022,12.0,143
SO7042,310,0.7402,0.7962,6,5,2019,7.5,153
UQA003,317,0.8011,0.8441,4,3,2022,7.5,99
MM5012,403,0.6111,0.5906,1,3,2019,7.5,47
SU7250,314,0.8739,0.6599,1,5,2022,7.5,85
USS22B,130,0.735,0.874,20,5,2020,30.0,383
PE10GN,306,0.6194,0.6878,2,3,2022,5.0,36
LVL20U,106,0.8483,0.8225,3,3,2021,7.5,48
TTA655,154,0.5138,0.5336,5,6,2019,15.0,85
TVEHII,106,0.7595,0.6719,3,3,2020,7.5,35
GG2008,464,0.4958,0.7252,13,3,2014,15.0,64
IB479C,323,0.6665,0.735,2,1,2012,7.5,37
UC470U,306,0.8617,0.7894,5,8,2019,7.5,115
ESMAGI,165,0.7082,0.6709,3,6,2019,15.0,44
GE8031,463,0.6943,0.7227,9,4,2020,15.0,118
ETG770,103,0.8703,0.8786,3,2,2022,7.5,74
JU671A,220,0.6483,0.771,19,5,2021,15.0,420
SON200,310,0.6431,0.654,7,10,2017,30.0,175
JU921B,220,0.7654,0.6811,3,6,2019,15.0,78
RHA310,103,0.7872,0.7378,3,4,2022,7.5,66
JU440A,220,0.7448,0.6305,3,5,2024,15.0,100
ST1701,311,0.5381,0.712,3,2,2020,7.5,76
ENLIN5,150,0.5367,0.469,2,4,2023,15.0,30
FAU200,158,0.8222,0.8515,10,4,2020,7.5,219
KV5227,106,0.7127,0.7132,4,3,2009,7.5,114
PSPR28,308,0.7757,0.7128,3,6,2021,4.5,52
FIBE11,102,0.6522,0.7927,17,5,2024,30.0,279
PR2543,302,0.7429,0.8144,13,6,2021,7.5,206
IH5231,106,0.5217,0.4715,3,7,2019,30.0,21
FIMC10,102,0.4148,0.6243,7,1,2023,7.5,100
IH5211,106,0.8065,0.6779,3,6,2010,7.5,60
IB439C,323,0.6202,0.679,5,4,2023,7.5,64
MI7017,485,0.781,0.735,3,6,2019,15.0,108
LIN431,153,0.6993,0.6447,2,2,2019,7.5,34
GG2030,464,0.6554,0.7649,7,5,2023,7.5,34
FK7056,402,0.6616,0.8026,14,4,2019,7.5,116
CT7170,154,0.7761,0.7943,4,3,2020,7.5,50
SLPOM9,158,0.6574,0.7672,5,3,2021,7.5,77
KG3302,304,0.7483,0.7809,5,4,2020,7.5,67
BL8050,460,0.693,0.6946,6,8,2020,15.0,196
ST2201,311,0.6516,0.6888,6,6,2023,7.5,153
ML212U,323,0.7187,0.8056,10,5,2020,5.0,95
SLRYLI,158,0.7288,0.8193,5,3,2022,7.5,71
FAA110,158,0.7949,0.8014,11,9,2022,15.0,237
UQ434F,317,0.8003,0.839,8,5,2020,7.5,146
HI8076,104,0.7433,0.8185,5,4,2020,7.5,100
NS3052,154,0.6332,0.4395,2,4,2021,7.5,53
IB143N,323,0.6887,0.6431,3,6,2020,7.5,95
PSMT63,308,0.6933,0.7318,3,4,2021,7.5,54
TYS20B,158,0.8298,0.8679,5,2,2022,7.5,137
GE7089,463,0.6592,0.8003,6,7,2021,15.0,86
MM7026,403,0.7594,0.5958,1,4,2021,7.5,56
US872U,130,0.8251,0.8521,6,6,2023,7.5,68
IB581N,323,0.7381,0.7205,7,7,2020,7.5,130
UM3103,130,0.8061,0.7722,4,7,2023,15.0,176
GE7076,463,0.6273,0.695,3,3,2017,15.0,46
JU451A,220,0.6785,0.8425,10,4,2019,15.0,192
PR3526,302,0.6279,0.8033,5,4,2023,7.5,98
LIT759,153,0.8573,0.4799,1,5,2022,15.0,19
FE6604,302,0.6536,0.6947,5,4,2016,7.5,128
FE401U,302,0.6607,0.7261,3,6,2020,3.0,86
KSA405,165,0.5824,0.6603,6,5,2020,7.5,107
JU247F,220,0.7519,0.5874,2,6,2020,3.5,32
RS2021,165,0.6023,0.7119,5,1,2022,7.5,139
PEAPAO,306,0.6446,0.6567,3,4,2020,15.0,69
IB310B,323,0.6588,0.6759,3,1,2017,15.0,44
MI7021,485,0.863,0.8313,6,8,2020,15.0,188
UQ149F,317,0.7124,0.8146,8,6,2019,7.5,121
SOD100,310,0.6099,0.7226,25,5,2014,60.0,478
BL8001,460,0.7797,0.7353,3,3,2007,7.5,41
JK0900,172,0.5583,0.5401,4,3,2023,7.5,65
LV3000,106,0.6088,0.6191,7,9,2020,30.0,114
HV03DF,130,0.7677,0.6378,3,5,2021,7.5,84
PH07G0,333,0.739,0.8704,5,4,2023,7.5,126
SU7247,314,0.7205,0.5904,3,4,2019,7.5,98
UQBA07,317,0.7186,0.6789,3,4,2019,7.5,45
PE07GN,306,0.8638,0.834,3,3,2021,7.5,59
PEA402,306,0.8187,0.8423,3,3,2023,7.5,68
SU7251,314,0.9575,0.9575,4,4,2022,7.5,53
KN5001,431,0.6359,0.5331,4,4,2014,6.0,62
IB711C,323,0.6388,0.7899,12,7,2022,7.5,117
FK4025,402,0.6288,0.7311,15,8,2015,7.5,204
GG7014,464,0.777,0.6435,1,4,2019,7.5,34
FAA912,158,0.6332,0.54,3,5,2022,15.0,59
LA4401,165,0.4984,0.6887,12,3,2012,15.0,166
FK8038,402,0.7302,0.6615,9,7,2019,3.0,135
IB583N,323,0.7021,0.7572,9,5,2018,7.5,139
GE4032,463,0.7415,0.8178,6,4,2019,7.5,41
CTS313,154,0.6198,0.6085,5,4,2023,15.0,87
IB480C,323,0.7696,0.7319,2,4,2012,7.5,69
STE101,311,0.5132,0.6535,3,4,2017,15.0,103
ITSPN3,165,0.6842,0.6635,2,3,2021,7.5,25
UM3009,130,0.862,0.8667,3,3,2019,7.5,75
SUKR04,314,0.7594,0.7139,2,8,2023,7.5,42
FIML11,102,0.6505,0.7194,5,1,2022,7.5,95
IT2TRI,165,0.6759,0.7229,3,1,2019,7.5,69
JU560B,220,0.7149,0.7086,4,5,2020,15.0,78
US303G,130,0.9166,0.79,3,4,2023,7.5,119
NSS10U,154,0.75,0.8228,7,3,2022,7.5,129
