identifier,plan_description,objectives
AS1002,"Kursen behandlar: universums expansion, den kosmiska bakgrundsstrålningen, de första sekunderna, grundämnessyntesen, mörk materia, mörk energi, galax- och stjärnbildning, universums storskaliga struktur och universums framtida öde.","Efter att ha genomgått kursen skall studenten: • inom ramen för Big Bang-teorin kunna ge en orienterande redogörelse för universums uppkomst, struktur och utveckling fram till idag • visa sådana kunskaper som behövs för att  kunna följa utvecklingen av den astronomiska forskningen och dess metoder"
AS1002,"Kursen behandlar: universums expansion, den kosmiska bakgrundsstrålningen, de första sekunderna, grundämnessyntesen, mörk materia, mörk energi, galax- och stjärnbildning, universums storskaliga struktur och universums framtida öde.","Efter att ha genomgått kursen skall studenten: • inom ramen för Big Bang-teorin kunna ge en orienterande redogörelse för universums uppkomst, struktur och utveckling fram till idag • visa sådana kunskaper som behövs för att  kunna följa utvecklingen av den astronomiska forskningen och dess metoder"
AS1002,"Kursen behandlar: universums expansion, den kosmiska bakgrundsstrålningen, de första sekunderna, grundämnessyntesen, mörk materia, galax- och stjärnbildning, universums storskaliga struktur och universums framtida öde.","Efter att ha genomgått kursen skall studenten: • inom ramen för Big Bang-teorin kunna ge en orienterande redogörelse för universum uppkomst, struktur och utveckling fram till idag • visa sådana kunskaper som behövs för att  kunna följa utvecklingen av den astronomiska forskningen och dess metoder      "
AS1002,"Kursen behandlar: universums expansion, den kosmiska bakgrundsstrålningen, de första sekunderna, grundämnessyntesen, mörk materia, mörk energi, galax- och stjärnbildning, universums storskaliga struktur och universums framtida öde.","Efter att ha genomgått kursen skall studenten: • inom ramen för Big Bang-teorin kunna ge en orienterande redogörelse för universums uppkomst, struktur och utveckling fram till idag • visa sådana kunskaper som behövs för att  kunna följa utvecklingen av den astronomiska forskningen och dess metoder"
AS1004,"Kursen behandlar frågorna: Är jorden den enda bebodda planeten i universum? Hur uppkom och utvecklades livet på jorden? Kan något liknande ha hänt på andra planeter ute bland Vintergatans miljarder solar? Finns det andra civilisationer där ute som, liksom vi, frågar sig om de är ensamma i universum? Kan vi i så fall få kontakt med dem?",Efter att ha genomgått kursen skall studenten: • kunna beskriva hur livet enligt den moderna vetenskapliga teorin kan ha uppkommit på jorden och ifall liv kan ha uppkommit på andra platser i universum • kunna redogöra för de vetenskapliga argumenten för och emot existensen av intelligent liv på andra planeter och hur en eventuell kontakt med andra civilisationer kan äga rum • visa sådana kunskaper som behövs för att på ett översiktligt sätt kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1004,"Kursen behandlar frågorna: Är jorden den enda bebodda planeten i universum? Hur uppkom och utvecklades livet på jorden? Kan något liknande ha hänt på andra planeter ute bland Vintergatans miljarder solar? Finns det andra civilisationer där ute som, liksom vi, frågar sig om de är ensamma i universum? Kan vi i så fall få kontakt med dem?",Efter att ha genomgått kursen skall studenten: • kunna beskriva hur livet enligt den moderna vetenskapliga teorin kan ha uppkommit på jorden och ifall liv kan ha uppkommit på andra platser i universum • kunna redogöra för de vetenskapliga argumenten för och emot existensen av intelligent liv på andra planeter och hur en eventuell kontakt med andra civilisationer kan äga rum • visa sådana kunskaper som behövs för att på ett översiktligt sätt kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1004,"Kursen behandlar frågorna: Är jorden den enda bebodda planeten i universum? Hur uppkom och utvecklades livet på jorden? Kan något liknande ha hänt på andra planeter ute bland Vintergatans miljarder solar? Finns det andra civilisationer där ute som, liksom vi, frågar sig om de är ensamma i universum? Kan vi i så fall få kontakt med dem?",Efter att ha genomgått kursen skall studenten: • kunna beskriva hur livet enligt den moderna vetenskapliga teorin kan ha uppkommit på jorden och ifall liv kan ha uppkommit på andra platser i universum • kunna redogöra för de vetenskapliga argumenten för och emot existensen av intelligent liv på andra planeter och hur en eventuell kontakt med andra civilisationer kan äga rum • visa sådana kunskaper som behövs för att på ett översiktligt sätt kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1005,"Kursen behandlar: solen och andra stjärnors struktur och utveckling – deras födelse ur det interstellära mediet, liv på huvudserien samt deras spektakulära åldrande och död. De första stjärnorna och universums kemiska utveckling diskuteras.",Efter att ha genomgått kursen skall studenten: •	kunna beskriva solen och andra stjärnors egenskaper och utveckling •	kunna redogöra för de huvudsakliga fysikaliska processer som bestämmer stjärnors liv och egenskaper •	kunna visa sådana kunskaper som behövs för att inom ämnesområdet stjärnors fysik kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1005,"Kursen behandlar: solen och andra stjärnors struktur och utveckling – deras födelse ur det interstellära mediet, liv på huvudserien samt deras spektakulära åldrande och död. De första stjärnorna och universums kemiska utveckling diskuteras.",Efter att ha genomgått kursen skall studenten: •	kunna beskriva solen och andra stjärnors egenskaper och utveckling •	kunna redogöra för de huvudsakliga fysikaliska processer som bestämmer stjärnors liv och egenskaper •	kunna visa sådana kunskaper som behövs för att inom ämnesområdet stjärnors fysik kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1005,"Kursen behandlar: solen och andra stjärnors struktur och utveckling – deras födelse ur det interstellära mediet, liv på huvudserien samt deras spektakulära åldrande och död. De första stjärnorna och universums kemiska utveckling diskuteras.",Efter att ha genomgått kursen skall studenten: •	kunna beskriva solen och andra stjärnors egenskaper och utveckling •	kunna redogöra för de huvudsakliga fysikaliska processer som bestämmer stjärnors liv och egenskaper •	kunna visa sådana kunskaper som behövs för att inom ämnesområdet stjärnors fysik kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1003,"Kursen behandlar: det vetenskapliga arbetssättet inom astronomin, instrument och observationsteknik, solsystemet, stjärnornas struktur och utveckling, Vintergatan och andra galaxer, universums födelse och utveckling, speciella objekt, t.ex. kvasarer och svarta hål.",Efter att ha genomgått kursen skall studenten: • kunna visa orienterande insikter i astronomi och i den astronomiska forskningens  metoder • visa sådana kunskaper som behövs för att kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1003,"Kursen behandlar: det vetenskapliga arbetssättet inom astronomin, instrument och observationsteknik, solsystemet, stjärnornas struktur och utveckling, Vintergatan och andra galaxer, universums födelse och utveckling, speciella objekt, t.ex. kvasarer och svarta hål.",Efter att ha genomgått kursen skall studenten: • kunna visa orienterande insikter i astronomi och i den astronomiska forskningens  metoder • visa sådana kunskaper som behövs för att kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1003,"Kursen behandlar: det vetenskapliga arbetssättet inom astronomin, instrument och observationsteknik, solsystemet, stjärnornas struktur och utveckling, Vintergatan och andra galaxer, universums födelse och utveckling, speciella objekt, t.ex. kvasarer och svarta hål.",Efter att ha genomgått kursen skall studenten: • kunna visa orienterande insikter i astronomi och i den astronomiska forskningens  metoder • visa sådana kunskaper som behövs för att kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1003,"Kursen behandlar: det vetenskapliga arbetssättet inom astronomin, instrument och observationsteknik, solsystemet, stjärnornas struktur och utveckling, Vintergatan och andra galaxer, universums födelse och utveckling, speciella objekt, t.ex. kvasarer och svarta hål.",Efter att ha genomgått kursen skall studenten: • kunna visa orienterande insikter i astronomi och i den astronomiska forskningens  metoder • visa sådana kunskaper som behövs för att kunna följa utvecklingen av den astronomiska forskningen och dess metoder
JKA902,Kursen omfattar ett studium av representativa fiktiva texter från Heian-perioden (794 - 1185) med huvudsaklig inriktning på 900 - 1000-talens hovlitteratur. I denna primärt feminina poetiska och narrativa diskurs tas kärlek och motstånd som figurer upp för tolkning och omtolkning i en diskussion kring centrala teman och begrepp.,För godkänt resultat på kursen ska studenten kunna: - orientera sig i Heian-periodens fiktionslitteratur - identifiera och beskriva ett antal viktiga litterära genrer från Heian-perioden - kommunicera fakta inom området muntligt och skriftligt - tolka och omtolka litterära texter - diskutera för periodens fiktionslitteratur centrala teman och begrepp
JKA902,Kursen omfattar ett studium av representativa fiktiva texter från Heian-perioden (794 - 1185) med huvudsaklig inriktning på 900 - 1000-talens hovlitteratur. I denna primärt feminina poetiska och narrativa diskurs tas kärlek och motstånd som figurer upp för tolkning och omtolkning i en diskussion kring centrala teman och begrepp.,Efter att ha genomgått kursen förväntas studenten kunna: - orientera sig i Heian-periodens fiktionslitteratur - identifiera och beskriva ett antal viktiga litterära genrer från Heian-perioden - kommunicera fakta inom området muntligt och skriftligt - tolka och omtolka litterära texter - diskutera för periodens fiktionslitteratur centrala teman och begrepp
