CourseCode,Department,SBERT_Similarity,ILO_Count
AS1002,Institutionen för astronomi,0.5200464129447937,4.0
AS1004,Institutionen för astronomi,0.5983125368754069,3.0
AS1005,Institutionen för astronomi,0.7743463218212128,3.0
AS1003,Institutionen för astronomi,0.7516318559646606,2.0
JKA902,"Institutionen för Asien-, Mellanöstern- och Turkietstudier",0.5352122232317924,5.0
GG1009,Institutionen för geologiska vetenskaper (IGV),0.5384530383679602,9.0
AS1010,Institutionen för astronomi,0.7948013544082642,2.0
AS1011,Institutionen för astronomi,0.5862592794001102,4.0
LV1011,Institutionen för kultur och estetik,0.8470345735549927,1.0
TVBTGN,Institutionen för kultur och estetik,0.8007511993249258,3.0
EC1212,Nationalekonomiska institutionen,0.6399822880824407,9.0
ST111G,Statistiska institutionen,0.6820540606975556,5.0
ST131G,Statistiska institutionen,0.7112609644730886,3.0
JKA923,"Institutionen för Asien-, Mellanöstern- och Turkietstudier",0.5991088096052408,4.0
HA35FF,Juridiska institutionen,0.6271196827292442,4.0
AS1012,Institutionen för astronomi,0.5956420660018921,5.0
HA36FF,Juridiska institutionen,0.6392487615346909,5.0
YPG10F,Institutionen för pedagogik och didaktik,0.8428446426987648,4.0
FK1018,Fysikum,0.7326860055327415,4.0
VPG04F,Institutionen för pedagogik och didaktik,0.7945792973041534,1.0
UB120F,Barn- och ungdomsvetenskapliga institutionen,0.6674234469731649,3.0
RHG111,"Institutionen för etnologi, religionshistoria och genusvetenskap",0.6200126826763153,5.0
RHG112,"Institutionen för etnologi, religionshistoria och genusvetenskap",0.8282452374696732,2.0
RHG113,"Institutionen för etnologi, religionshistoria och genusvetenskap",0.8354285955429077,2.0
RHG114,"Institutionen för etnologi, religionshistoria och genusvetenskap",0.8720124363899231,1.0
SLUIOI,"Institutionen för slaviska och baltiska språk, finska, nederländska och tyska",0.749690318107605,5.0
JKB918,"Institutionen för Asien-, Mellanöstern- och Turkietstudier",0.7904584109783173,3.0
UCG110,Institutionen för pedagogik och didaktik,0.7517136434713999,3.0
AS1013,Institutionen för astronomi,0.6725489993890127,3.0
FR011A,Romanska och klassiska institutionen,0.7226885855197906,10.0
FR022A,Romanska och klassiska institutionen,0.6147063545882702,10.0
JKA918,"Institutionen för Asien-, Mellanöstern- och Turkietstudier",0.7221385389566422,4.0
ATS150,Institutet för social forskning (SOFI),0.6773990392684937,2.0
GG2205,Institutionen för geologiska vetenskaper (IGV),0.6580589903252465,7.0
ES011A,Romanska och klassiska institutionen,0.8049509674310684,4.0
PH01G1,Institutionen för folkhälsovetenskap,0.7785133173068365,6.0
PH02G0,Institutionen för folkhälsovetenskap,0.8254450619220733,5.0
PH05G0,Institutionen för folkhälsovetenskap,0.8161817416548729,4.0
PH04G0,Institutionen för folkhälsovetenskap,0.8732188284397125,5.0
PH03G0,Institutionen för folkhälsovetenskap,0.8278328403830528,4.0
PH06G0,Institutionen för folkhälsovetenskap,0.847844789425532,3.0
PH07G0,Institutionen för folkhälsovetenskap,0.875406950712204,4.0
PH08G0,Institutionen för folkhälsovetenskap,0.7039295583963394,5.0
PH09G0,Institutionen för folkhälsovetenskap,0.7703128159046173,5.0
HVRD01,Institutionen för ämnesdidaktik,0.7855856716632843,3.0
ATU160,Institutet för social forskning (SOFI),0.7064037422339121,3.0
HA45FF,Juridiska institutionen,0.6227852366864681,4.0
