CourseCode,CourseName,Department,ILO,Similarity,Content
AS1002,"Modern kosmologi, orienteringskurs i astronomi",Institutionen för astronomi,Du ska kunna visa sådana kunskaper som behövs för att .,0.1907186508178711,"Kursen behandlar: universums expansion, den kosmiska bakgrundsstrålningen, de första sekunderna, grundämnessyntesen, mörk materia, mörk energi, galax- och stjärnbildning, universums storskaliga struktur och universums framtida öde."
JKA902,Kärlek och motstånd: Dikt och narration i japansk hovlitteratur,"Institutionen för Asien-, Mellanöstern- och Turkietstudier",Du ska kunna kommunicera fakta inom området muntligt och skriftligt .,0.21940098702907562,Kursen omfattar ett studium av representativa fiktiva texter från Heian-perioden (794 - 1185) med huvudsaklig inriktning på 900 - 1000-talens hovlitteratur. I denna primärt feminina poetiska och narrativa diskurs tas kärlek och motstånd som figurer upp för tolkning och omtolkning i en diskussion kring centrala teman och begrepp.
GG1009,"Livets utveckling, orienteringskurs",Institutionen för geologiska vetenskaper (IGV),Du ska kunna amfibier .,0.34711188077926636,"a. Kursen behandlar: •	problematiken om livets ursprung •	de första bakterierna •	uppkomsten av flercelliga organismer •	den kambriska explosionen •	växtvärldens utveckling •	från fisk till amfibie, ett stort steg •	däggdjurens utveckling  •	evolutionsteori  b. Kursen består av följande moment: 1. Exkursion 1,5 hp (Field Trip) 2. Teori 6 hp (Theory)"
GG1009,"Livets utveckling, orienteringskurs",Institutionen för geologiska vetenskaper (IGV),Du ska kunna reptiler .,0.31674081087112427,"a. Kursen behandlar: •	problematiken om livets ursprung •	de första bakterierna •	uppkomsten av flercelliga organismer •	den kambriska explosionen •	växtvärldens utveckling •	från fisk till amfibie, ett stort steg •	däggdjurens utveckling  •	evolutionsteori  b. Kursen består av följande moment: 1. Exkursion 1,5 hp (Field Trip) 2. Teori 6 hp (Theory)"
AS1011,"Svarta hål och kosmiska explosioner, orienteringskurs",Institutionen för astronomi,Du ska kunna visa orienterande insikter i .,0.2964932918548584,"Kursen behandlar observationella och teoretiska aspekter av exotiska kompakta objekt, såsom vita dvärgar, neutronstjärnor och svarta hål.  Speciellt behandlas: upptäcktshistorien av de exotiska objekten, en översikt av slutstadierna av stjärnutveckling, supernovaexplosioner, pulsarer, struktur hos neutronstjärnorna, fysiken hos svarta hål, grundtankarna i allmän relativitetsteori, händelsehorisonter, singulariteter, maskhål, observationella aspekter av kompakta objekt, röntgenkällor, gammastrålningsutbrott, kolliderande neutronstjärnor, supermassiva svarta hål i aktiva galaxkärnor, det svarta hålet i Vintergatans centrum, Hawkingstrålning, gravitationsstrålning, olika typer av teleskop och satelliter för röntgen och gammastrålning."
FR022A,"Franska, förberedande kurs II",Romanska och klassiska institutionen,Du ska kunna använda olika typer av satser .,0.28271210193634033,"Kursen syftar till att ge tillräckliga kunskaper för att studera franska vidare på högre nivåer. Kursen fokuserar på muntlig och skriftlig språkfärdighet, men tar även upp områdeskunskap i form av studier av kultur, samhälle och litteratur i både Frankrike och ett urval andra franskspråkiga länder. Föreläsningarna ges på svenska. Studietakten är hög och förutsätter intensiva studier. Godkänd kurs ger behörighet till Franska I vid Stockholms universitet.    Kursen består av följande delkurser:  Fransk grammatik och ordkunskap 3, 3,5 hp: Fortsatt genomgång av de allmänna grammatiska termer som krävs för studier i franska på akademisk nivå, med fokus på franska språkets grundläggande syntaktiska strukturer. Breddning av det centrala ordförrådet.   Hörförståelse och muntlig framställning 2, 7,5 hp: Delkursen, som bygger vidare på hörförståelse och muntlig framställning 1, innehåller samtalsövningar kring aktuella ämnen samt hörförståelseövningar. Utöver det ges en introduktion till kultur och samhälle i Frankrike samt ett urval andra franskspråkiga länder.  Skriftlig produktion 2, 4 hp:  Praktiska övningar i olika skriftliga framställningsformer. Studium av enklare franska skönlitterära texter. Övningar i idiomatik."
SLBIOI,Belarus igår och idag,"Institutionen för slaviska och baltiska språk, finska, nederländska och tyska",Du ska kunna problematisera identitetsskapande faktorer .,0.2835581302642822,"Kursen behandlar bakgrunden till dagens politiska och kulturella situation i Belarus och diskuterar olika perspektiv på historia, kultur och språk. Kursen tar sitt avstamp i 700- och 800-talen, då den första östslaviska statsbildningen uppstod och omfattade det område som utgör dagens Belarus. Under kursen diskuteras hur landets geografiska läge på gränsen mellan Östeuropa och Västeuropa har lett till komplexa historiska skeenden då landet dragits in i olika maktsfärer och under långa tider även har varit uppdelat mellan grannländerna. Särskilt fokus ligger på Belarus historia under det tidiga 1900-talet, Sovjetepoken, utropandet av en självständig stat samt den senaste politiska utvecklingen."
KA7004,"Analytisk kemi, masspektrometri",Kemikum,Du ska kunna redogöra för vanliga fragmenteringsvägar vid elektronjonisation .,0.3242016136646271,"a. Kursen avser att ge en bred och fördjupad kunskap om modern masspektrometrisk analysmetodik. Koppling till separationsmetoder, samt kvalitativ och kvantitativ dataanalys ingår. De olika masspektrometriska teknikerna jämförs ingående och utvärderas för olika applikationer och analytiska problemställningar. Kursen förmedlar både praktiska och teoretiska färdigheter.   b. Kursen består av två moment: 1)	Teori (Theory) 7.5 högskolepoäng 2)	Laborationer (Laboratory excercises, project) 7.5 högskolepoäng"
EC7413,Ekonometri 3b: Tidsseriedata,Nationalekonomiska institutionen,Du ska kunna och F .,0.30167287588119507,"Kursen syftar till att nå en djupare förståelse av de statistiska metoder som behövs för att man empiriskt skall kunna analysera ekonomiska problem vilka involverar tidseriedata. Kursen omfattar; OLS med tidsseriedata; autokorrelationsbegreppet; deterministisk trend; säsong; strukturella brott; inferens robust för heteroskedastisticitet och autokorrelation; ARMA-modeller, stationäritet och stokastisk trend; test för enhetsrötter; test för stationäritet; autoregressiva modeller; maximum-likelihood estimation; informationskriterier och moving average modeller; SARIMA-modeller; VAR-modeller; kointegration och felkorrigeringsmodeller; prognoser, prognosevaluering och Granger-kausalitet. Kursen innehåller en introduktion till R och reproducerbar ekonometri."
PSPR64,"Utvecklingspsykologi 1: Prenatalt till adolescens, teori",Psykologiska institutionen,Du ska kunna kritiskt granska och diskutera för området relevanta vetenskapliga artiklar .,0.3488680124282837,"Kursen ger kunskap om utveckling prenatalt till adolescensen. Utvecklingsprocessen ses som ett samspel mellan såväl biologiska, psykologiska som sociala och samhälleliga faktorer. Kursen syftar till att ge kunskap i modern utvecklingspsykologi, där psykodynamiska, kognitiva, neuropsykologiska och socialpsykologiska faktorer behandlas med en strävan till helhetssyn på utveckling som en sammansatt och under hela livet pågående process. Utvecklingsprocessen beskrivs huvudsakligen ur ett typiskt perspektiv, medan atypisk utveckling berörs till viss del."
